"cie10","descripcion"
"V041","Peaton Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Accidente De Transito"
"V049","Peaton Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Accidente No Especificado"
"V050","Peaton Lesionado Por Colision Con Tren O Vehiculo De Rieles; Accidente No De Transito"
"V051","Peaton Lesionado Por Colision Con Tren O Vehiculo De Rieles; Accidente De Transito"
"V059","Peaton Lesionado Por Colision Con Tren O Vehiculo De Rieles; Accidente No Especificado Como De Trans"
"V060","Peaton Lesionado Por Colision Con Otros Vehiculos Sin Motor; Accidente No De Transito"
"V061","Peaton Lesionado Por Colision Con Otros Vehiculos Sin Motor; Accidente De Transito"
"V069","Peaton Lesionado Por Colision Con Otros Vehiculos Sin Motor; Accidente No Especificado Como De Trans"
"V090","Peaton Lesionado En Accidente No De Transito Que Involucra Otros Vehiculos De Motor; Y Los No Especi"
"V091","Peaton Lesionado En Accidente No De Transito No Especificado"
"V092","Peaton Lesionado En Accidente De Transito Que Involucra Otros Vehiculos De Motor; Y Los No Especific"
"V093","Peaton Lesionado En Accidente De Transito No Especificado"
"V099","Peaton Lesionado En Accidente De Transporte No Especificado"
"V100","Ciclista Lesionado Por Colision Con Peaton O Animal; Conductor Lesionado En Accidente No De Transito"
"V101","Ciclista Lesionado Por Colision Con Peaton O Animal; Pasajero Lesionado En Accidente No De Transito"
"V102","Ciclista Lesionado Por Colision Con Peaton O Animal; Ciclista No Especificado; Lesionado En Accident"
"V103","Ciclista Lesionado Por Colision Con Peaton O Animal; Persona Lesionada Al Subir O Bajar Del Vehiculo"
"V104","Ciclista Lesionado Por Colision Con Peaton O Animal; Conductor Lesionado En Accidente De Transito"
"V105","Ciclista Lesionado Por Colision Con Peaton O Animal; Pasajero Lesionado En Accidente De Transito"
"V109","Ciclista Lesionado Por Colision Con Peaton O Animal; Ciclista No Especificado; Lesionado En Accident"
"V110","Ciclista Lesionado Por Colision Con Otro Ciclista; Conductor Lesionado En Accidente No De Transito"
"V111","Ciclista Lesionado Por Colision Con Otro Ciclista; Pasajero Lesionado En Accidente No De Transito"
"V112","Ciclista Lesionado Por Colision Con Otro Ciclista; Ciclista No Especificado; Lesionado En Accidente "
"V113","Ciclista Lesionado Por Colision Con Otro Ciclista; Persona Lesionada Al Subir O Bajar Del Vehiculo"
"V114","Ciclista Lesionado Por Colision Con Otro Ciclista; Conductor Lesionado En Accidente De Transito"
"V115","Ciclista Lesionado Por Colision Con Otro Ciclista; Pasajero Lesionado En Accidente De Transito"
"V119","Ciclista Lesionado Por Colision Con Otro Ciclista; Ciclista No Especificado; Lesionado En Accidente "
"V120","Ciclista Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas; Conductor Lesionado En A"
"V121","Ciclista Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas; Pasajero Lesionado En Ac"
"V122","Ciclista Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas; Ciclista No Especificado"
"V123","Ciclista Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas; Persona Lesionada Al Sub"
"V124","Ciclista Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas; Conductor Lesionado En A"
"V125","Ciclista Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas; Pasajero Lesionado En Ac"
"V129","Ciclista Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas; Ciclista No Especificado"
"V130","Ciclista Lesionado Por Colision Con Automovil; Camioneta O Furgoneta; Conductor Lesionado En Acciden"
"V131","Ciclista Lesionado Por Colision Con Automovil; Camioneta O Furgoneta; Pasajero Lesionado En Accident"
"V132","Ciclista Lesionado Por Colision Con Automovil; Camioneta O Furgoneta; Ciclista No Especificado Lesio"
"V133","Ciclista Lesionado Por Colision Con Automovil; Camioneta O Furgoneta; Persona Lesionada Al Subir O B"
"V134","Ciclista Lesionado Por Colision Con Automovil; Camioneta O Furgoneta; Conductor Lesionado En Acciden"
"V135","Ciclista Lesionado Por Colision Con Automovil; Camioneta O Furgoneta; Pasajero Lesionado En Accident"
"V139","Ciclista Lesionado Por Colision Con Automovil; Camioneta O Furgoneta; Ciclista No Especificado; Lesi"
"V140","Ciclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Conductor Lesionado En "
"V141","Ciclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Pasajero Lesionado En A"
"V142","Ciclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Ciclista No Especificad"
"V143","Ciclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Persona Lesionada Al Su"
"V144","Ciclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Conductor Lesionado En "
"V145","Ciclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Pasajero Lesionado En A"
"V149","Ciclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Ciclista No Especificad"
"V150","Ciclista Lesionado Por Colision Con Tren O Vehiculo De Rieles; Conductor Lesionado En Accidente No D"
"V151","Ciclista Lesionado Por Colision Con Tren O Vehiculo De Rieles; Pasajero Lesionado En Accidente No De"
"V152","Ciclista Lesionado Por Colision Con Tren O Vehiculo De Rieles; Ciclista No Especificado; Lesionado E"
"V153","Ciclista Lesionado Por Colision Con Tren O Vehiculo De Rieles; Persona Lesionada Al Subir O Bajar De"
"V154","Ciclista Lesionado Por Colision Con Tren O Vehiculo De Rieles; Conductor Lesionado En Accidente De T"
"V155","Ciclista Lesionado Por Colision Con Tren O Vehiculo De Rieles; Pasajero Lesionado En Accidente De Tr"
"V159","Ciclista Lesionado Por Colision Con Tren O Vehiculo De Rieles; Ciclista No Especificado; Lesionado E"
"V160","Ciclista Lesionado Por Colision Con Otros Vehiculos Sin Motor; Conductor Lesionado En Accidente No D"
"V161","Ciclista Lesionado Por Colision Con Otros Vehiculos Sin Motor; Pasajero Lesionado En Accidente No De"
"V162","Ciclista Lesionado Por Colision Con Otros Vehiculos Sin Motor; Ciclista No Especificado; Lesionado E"
"V163","Ciclista Lesionado Por Colision Con Otros Vehiculos Sin Motor; Persona Lesionada Al Subir O Bajar De"
"V164","Ciclista Lesionado Por Colision Con Otros Vehiculos Sin Motor; Conductor Lesionado En Accidente De T"
"V165","Ciclista Lesionado Por Colision Con Otros Vehiculos Sin Motor; Pasajero Lesionado En Accidente De Tr"
"V169","Ciclista Lesionado Por Colision Con Otros Vehiculos Sin Motor; Ciclista No Especificado; Lesionado E"
"V170","Ciclista Lesionado Por Colision Con Objeto Estacionado O Fijo; Conductor Lesionado En Accidente No D"
"V171","Ciclista Lesionado Por Colision Con Objeto Estacionado O Fijo; Pasajero Lesionado En Accidente No De"
"V172","Ciclista Lesionado Por Colision Con Objeto Estacionado O Fijo; Ciclista No Especificado; Lesionado E"
"V173","Ciclista Lesionado Por Colision Con Objeto Estacionado O Fijo; Persona Lesionada Al Subir O Bajar De"
"V174","Ciclista Lesionado Por Colision Con Objeto Estacionado O Fijo; Conductor Lesionado En Accidente De T"
"V175","Ciclista Lesionado Por Colision Con Objeto Estacionado O Fijo; Pasajero Lesionado En Accidente De Tr"
"V179","Ciclista Lesionado Por Colision Con Objeto Estacionado O Fijo; Ciclista No Especificado; Lesionado E"
"V180","Ciclista Lesionado En Accidente De Transporte Sin Colision; Conductor Lesionado En Accidente No De T"
"V181","Ciclista Lesionado En Accidente De Transporte Sin Colision; Pasajero Lesionado En Accidente No De Tr"
"V182","Ciclista Lesionado En Accidente De Transporte Sin Colision; Ciclista No Especificado; Lesionado En A"
"V183","Ciclista Lesionado En Accidente De Transporte Sin Colision; Persona Lesionada Al Subir O Bajar Del V"
"V184","Ciclista Lesionado En Accidente De Transporte Sin Colision; Conductor Lesionado En Accidente De Tran"
"V185","Ciclista Lesionado En Accidente De Transporte Sin Colision; Pasajero Lesionado En Accidente De Trans"
"V189","Ciclista Lesionado En Accidente De Transporte Sin Colision; Ciclista No Especificado; Lesionado En A"
"V190","Conductor De Vehiculo De Pedal Lesionado Por Colision Con Otros Vehiculos De Motor; Y Con Los No Esp"
"V191","Pasajero De Vehiculo De Pedal Lesionado Por Colision Con Otros Vehiculos De Motor; Y Con Los No Espe"
"V192","Ciclista No Especificado  Lesionado Por Colision Con Otros Vehiculos De Motor; Y Con Los No Especifi"
"V193","Ciclista (Cualquiera) Lesionado En Accidente No De Transito; No Especificado"
"V194","Conductor De Vehiculo De Pedal Lesionado Por Colision Con Otros Vehiculos De Motor; Y Con Los No Esp"
"V195","Pasajero De Vehiculo De Pedal Lesionado Por Colision Con Otros Vehiculos De Motor; Y Con Los No Espe"
"V196","Ciclista No Especificado Lesionado Por Colision Con Otros Vehiculos De Motor; Y Con Los No Especific"
"V198","Ciclista [Cualquiera] Lesionado En Otros Accidentes De Transporte Especificados"
"V199","Ciclista [Cualquiera] Lesionado En Accidente De Transito No Especificado"
"V200","Motociclista Lesionado Por Colision Con Peaton O Animal; Conductor Lesionado En Accidente No De Tran"
"V201","Motociclista Lesionado Por Colision Con Peaton O Animal; Pasajero Lesionado En Accidente No De Trans"
"V202","Motociclista Lesionado Por Colision Con Peaton O Animal; Motociclista No Especificado; Lesionado En "
"V203","Motociclista Lesionado Por Colision Con Peaton O Animal; Persona Lesionada Al Subir O Bajar Del Vehi"
"V204","Motociclista Lesionado Por Colision Con Peaton O Animal; Conductor Lesionado En Accidente De Transit"
"V205","Motociclista Lesionado Por Colision Con Peaton O Animal; Pasajero Lesionado En Accidente De Transito"
"V209","Motociclista Lesionado Por Colision Con Peaton O Animal; Motociclista No Especificado; Lesionado En "
"V210","Motociclista Lesionado Por Colision Con Vehiculo De Pedal; Conductor Lesionado En Accidente No De Tr"
"V211","Motociclista Lesionado Por Colision Con Vehiculo De Pedal; Pasajero Lesionado En Accidente No De Tra"
"V212","Motociclista Lesionado Por Colision Con Vehiculo De Pedal; Motociclista No Especificado; Lesionado E"
"V213","Motociclista Lesionado Por Colision Con Vehiculo De Pedal; Persona Lesionada Al Subir O Bajar Del Ve"
"V214","Motociclista Lesionado Por Colision Con Vehiculo De Pedal; Conductor Lesionado En Accidente De Trans"
"V215","Motociclista Lesionado Por Colision Con Vehiculo De Pedal; Pasajero Lesionado En Accidente De Transi"
"V219","Motociclista Lesionado Por Colision Con Vehiculo De Pedal; Motociclista No Especificado; Lesionado E"
"V220","Motociclista Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas; Conductor Lesionado "
"V221","Motociclista Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas; Pasajero Lesionado E"
"V222","Motociclista Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas; Motociclista No Espe"
"V223","Motociclista Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas; Persona Lesionada Al"
"V224","Motociclista Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas; Conductor Lesionado "
"V225","Motociclista Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas; Pasajero Lesionado E"
"V229","Motociclista Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas; Motociclista No Espe"
"V230","Motociclista Lesionado Por Colision Con Automovil; Camioneta O Furgoneta; Conductor Lesionado En Acc"
"V231","Motociclista Lesionado Por Colision Con Automovil; Camioneta O Furgoneta; Pasajero  Lesionado En Acc"
"V232","Motociclista Lesionado Por Colision Con Automovil; Camioneta O Furgoneta; Motociclista No Especifica"
"V233","Motociclista Lesionado Por Colision Con Automovil; Camioneta O Furgoneta; Persona Lesionada Al Subir"
"V234","Motociclista Lesionado Por Colision Con Automovil; Camioneta O Furgoneta; Conductor Lesionado En Acc"
"V235","Motociclista Lesionado Por Colision Con Automovil; Camioneta O Furgoneta; Pasajero Lesionado En Acci"
"V239","Motociclista Lesionado Por Colision Con Automovil; Camioneta O Furgoneta; Motociclista No Especifica"
"V240","Motociclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Conductor Lesionado"
"V241","Motociclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Pasajero Lesionado "
"V242","Motociclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Motociclista No Esp"
"V243","Motociclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Persona Lesionada A"
"V244","Motociclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Conductor Lesionado"
"V245","Motociclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Pasajero Lesionado "
"V249","Motociclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus; Motociclista No Esp"
"V250","Motociclista Lesionado Por Colision Con Tren O Vehiculo De Rieles; Conductor Lesionado En Accidente "
"V251","Motociclista Lesionado Por Colision Con Tren O Vehiculo De Rieles; Pasajero Lesionado En Accidente N"
"V252","Motociclista Lesionado Por Colision Con Tren O Vehiculo De Rieles; Motociclista No Especificado; Les"
"V253","Motociclista Lesionado Por Colision Con Tren O Vehiculo De Rieles; Persona Lesionada Al Subir O Baja"
"V254","Motociclista Lesionado Por Colision Con Tren O Vehiculo De Rieles; Conductor Lesionado En Accidente "
"V255","Motociclista Lesionado Por Colision Con Tren O Vehiculo De Rieles; Pasajero Lesionado En Accidente D"
"V259","Motociclista Lesionado Por Colision Con Tren O Vehiculo De Rieles; Motociclista No Especificado; Les"
"V260","Motociclista Lesionado Por Colision Con Otros Vehiculos Sin Motor; Conductor Lesionado En Accidente "
"V261","Motociclista Lesionado Por Colision Con Otros Vehiculos Sin Motor; Pasajero Lesionado En Accidente N"
"V262","Motociclista Lesionado Por Colision Con Otros Vehiculos Sin Motor; Motociclista No Especificado; Les"
"V263","Motociclista Lesionado Por Colision Con Otros Vehiculos Sin Motor; Persona Lesionada Al Subir O Baja"
"V264","Motociclista Lesionado Por Colision Con Otros Vehiculos Sin Motor; Conductor Lesionado En Accidente "
"V265","Motociclista Lesionado Por Colision Con Otros Vehiculos Sin Motor; Pasajero Lesionado En Accidente D"
"V269","Motociclista Lesionado Por Colision Con Otros Vehiculos Sin Motor; Motociclista No Especificado; Les"
"V270","Motociclista Lesionado Por Colision Con Objeto Fijo O Estacionado; Conductor Lesionado En Accidente "
"V271","Motociclista Lesionado Por Colision Con Objeto Fijo O Estacionado; Pasajero Lesionado En Accidente N"
"V272","Motociclista Lesionado Por Colision Con Objeto Fijo O Estacionado; Motociclista No Especificado; Les"
"V273","Motociclista Lesionado Por Colision Con Objeto Fijo O Estacionado; Persona Lesionada Al Subir O Baja"
"V274","Motociclista Lesionado Por Colision Con Objeto Fijo O Estacionado; Conductor Lesionado En Accidente "
"V275","Motociclista Lesionado Por Colision Con Objeto Fijo O Estacionado; Pasajero Lesionado En Accidente D"
"V279","Motociclista Lesionado Por Colision Con Objeto Fijo O Estacionado; Motociclista No Especificado; Les"
"V280","Motociclista Lesionado En Accidente De Transporte Sin Colision; Conductor Lesionado En Accidente No "
"V281","Motociclista Lesionado En Accidente De Transporte Sin Colision; Pasajero Lesionado En Accidente No D"
"V282","Motociclista Lesionado En Accidente De Transporte Sin Colision; Motociclista No Especificado; Lesion"
"V283","Motociclista Lesionado En Accidente De Transporte Sin Colision; Persona Lesionada Al Subir O Bajar D"
"V284","Motociclista Lesionado En Accidente De Transporte Sin Colision; Conductor Lesionado En Accidente De "
"V285","Motociclista Lesionado En Accidente De Transporte Sin Colision; Pasajero Lesionado En Accidente De T"
"V289","Motociclista Lesionado En Accidente De Transporte Sin Colision; Motociclista No Especificado; Lesion"
"V290","Conductor De Motocicleta Lesionado Por Colision Con Otros Vehiculos De Motor; Y Con Los No Especific"
"V291","Pasajero De Motocicleta Lesionado Por Colision Con Otros Vehiculos De Motor; Y Con Los No Especifica"
"V292","Motociclista No Especificado Lesionado Por Colision Con Otros Vehiculos De Motor; Y Con Los No Espec"
"V293","Motociclista [Cualquiera] Lesionado En Accidente No De Transito; No Especificado"
"V294","Conductor De Motocicleta Lesionado Por Colision Con Otros Vehiculos De Motor; Y Con Los No Especific"
"V295","Pasajero De Motocicleta Lesionado Por Colision Con Otros Vehiculos De Motor; Y Con Los No Especifica"
"V296","Motociclista No Especificado Lesionado Por Colision Con Otros Vehiculos De Motor; Y Con Los No Espec"
"V298","Motociclista [Cualquiera] Lesionado En Otros Accidentes De Transporte Especificados"
"V299","Motociclista [Cualquiera] Lesionado En Accidente De Transito No Especificado"
"V300","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal; Conductor L"
"V301","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal; Pasajero Le"
"V302","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal; Persona Que"
"V303","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal; Ocupante No"
"V304","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal; Persona Les"
"V305","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal; Conductor L"
"V306","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal; Pasajero Le"
"V307","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal; Persona Que"
"V309","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal; Ocupante No"
"V310","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal; Conductor"
"V311","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal; Pasajero "
"V312","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal; Persona Q"
"V313","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal; Ocupante "
"V314","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal; Persona L"
"V315","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal; Conductor"
"V316","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal; Pasajero "
"V317","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal; Persona Q"
"V319","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal; Ocupante "
"V320","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otro Vehiculo De Motor De Do"
"V321","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otro Vehiculo De Motor De Do"
"V322","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otro Vehiculo De Motor De Do"
"V323","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otro Vehiculo De Motor De Do"
"V324","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otro Vehiculo De Motor De Do"
"V325","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otro Vehiculo De Motor De Do"
"V326","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otro Vehiculo De Motor De Do"
"V327","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otro Vehiculo De Motor De Do"
"V329","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otro Vehiculo De Motor De Do"
"V330","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil; Camioneta O Furgo"
"V331","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil; Camioneta O Furgo"
"V332","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil; Camioneta O Furgo"
"V333","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil; Camioneta O Furgo"
"V334","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil; Camioneta O Furgo"
"V335","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil; Camioneta O Furgo"
"V336","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil; Camioneta O Furgo"
"V337","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil; Camioneta O Furgo"
"V339","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil; Camioneta O Furgo"
"V340","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesad"
"V341","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesad"
"V342","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesad"
"V343","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesad"
"V344","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesad"
"V345","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesad"
"V346","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesad"
"V347","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesad"
"V349","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesad"
"V350","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles; C"
"V351","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles; P"
"V352","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles; P"
"V353","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles; O"
"V354","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles; P"
"V355","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles; C"
"V356","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles; P"
"V357","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles; P"
"V359","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles; O"
"V360","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otros Vehiculos Sin Motor; C"
"V361","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otros Vehiculos Sin Motor; P"
"V362","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otros Vehiculos Sin Motor; P"
"V363","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otros Vehiculos Sin Motor; O"
"V364","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otros Vehiculos Sin Motor; P"
"V365","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otros Vehiculos Sin Motor; C"
"V366","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otros Vehiculos Sin Motor; P"
"V367","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otros Vehiculos Sin Motor; P"
"V369","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otros Vehiculos Sin Motor; O"
"V370","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado; C"
"V371","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado; P"
"V372","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado; P"
"V373","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado; O"
"V374","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado; P"
"V375","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado; C"
"V376","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado; P"
"V377","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado; P"
"V379","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado; O"
"V380","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transporte Sin Colision; Cond"
"V381","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transporte Sin Colision; Pasa"
"V382","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transporte Sin Colision; Pers"
"V383","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transporte Sin Colision; Ocup"
"V384","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transporte Sin Colision; Pers"
"V385","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transporte Sin Colision; Cond"
"V386","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transporte Sin Colision; Pasa"
"V387","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transporte Sin Colision; Pers"
"V389","Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transporte Sin Colision; Ocup"
"V390","Conductor De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otros Vehiculos De Motor; Y"
"V391","Pasajero De  Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otros Vehiculos De Motor; Y"
"V392","Ocupante No Especificado De  Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otros Vehic"
"V393","Ocupante [Cualquiera] De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente No De Transito; No "
"V394","Conductor De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otros Vehiculos De Motor; Y"
"V395","Pasajero De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otros Vehiculos De Motor; Y "
"V396","Ocupante No Especificado De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Otros Vehicu"
"V398","Ocupante [Cualquiera] De Vehiculo De Motor De Tres Ruedas Lesionado En Otros Accidentes De Transport"
"V399","Ocupante [Cualquiera] De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transito No Espe"
"V400","Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal; Conductor Lesionado En Accidente N"
"V401","Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal; Pasajero Lesionado En Accidente No"
"V402","Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal; Persona  Que Viaja Fuera Del Vehic"
"V403","Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal; Ocupante No Especificado De  Autom"
"V404","Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal; Persona Lesionada Al Subir O Bajar"
"V405","Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal; Conductor Lesionado En Accidente D"
"V406","Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal; Pasajero Lesionado En Accidente De"
"V407","Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal; Persona Que Viaja Fuera Del Vehicu"
